Vieta;Data;Laikas;Dalyviu skaicius;Zuvusiuju skaicius;Suzeistuju skaicius;Dalyvavusiu transporto priemoniu skaicius;Apgadintu transporto priemoniu skaicius;Kelio reiksme;Dangos rusis;Dangos bukle;Paros metas;Meteorologines salygos;Kelio kreive;Atitvarai (1-yra, 0-nera);Sankryzos tipas;Tikslesnes vietos aplinkybes;Eismo ivykio dalyvio kategorija;Lytis;Gimimo data;Neigalumas (1 - taip, 0 - ne);Saugos dirzas;Vairuotojo kvalifikacija;Stazas;Blaivumas
Alytaus r. sav.;2015-05-16;00:30:00;2;0;1;2;2;Rajoniniai keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Vingiuota nuokalne;0;;;Automobilio vairuotojas;Vyras;1992-01-12;0;Neuzsegtas;Neturi teises vairuoti;;Neblaivus
Alytaus r. sav.;2015-05-18;20:38:00;2;0;2;1;1;;zvyrkelis;slapia;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1965-04-28;0;Neuzsegtas;Neturi teises vairuoti;;Neblaivus
Alytaus r. sav.;2015-05-29;18:44:03;2;0;1;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Mopedo vairuotojas;Vyras;1981-02-27;0;;Atitinka;1;Blaivus
Alytaus r. sav.;2015-05-31;16:51:00;2;0;1;1;1;Rajoniniai keliai;zvyrkelis;Sausa;Diena;Giedra;Tiesi nuokalne;0;;;Automobilio vairuotojas;Moteris;1978-03-31;0;Uzsegtas;Atitinka;10;Blaivus
Alytaus r. sav.;2015-06-20;10:50:00;1;0;1;1;1;;zvyrkelis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1995-04-03;0;Uzsegtas;Neturi teises vairuoti;;Neblaivus
Alytaus r. sav.;2015-06-21;11:21:55;2;1;1;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Vingiuota nuokalne;0;;;Motociklo vairuotojas;Vyras;1992-03-26;0;;Neturi teises vairuoti;;Blaivus
Alytaus r. sav.;2015-06-23;16:42:00;1;0;1;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1979-09-02;0;Uzsegtas;Atitinka;8;Blaivus
Alytaus r. sav.;2015-07-08;13:05:00;3;0;1;2;1;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesi ikalne;0;;;Automobilio vairuotojas;Vyras;1996-05-23;0;Uzsegtas;Atitinka;1;Blaivus
Alytaus r. sav.;2015-08-02;14:30:00;5;0;2;4;4;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesi nuokalne;0;;;Automobilio vairuotojas;Moteris;1981-12-21;0;Uzsegtas;Atitinka;8;Blaivus
Alytaus r. sav.;2015-08-21;21:00:00;1;0;1;1;1;;zvyrkelis;Sausa;Sutemos (prieblanda);Apsiniauke;Tiesus horizontalus ruozas;0;;;Motociklo vairuotojas;Vyras;1997-07-06;0;;Neturi teises vairuoti;;Blaivus
Alytaus r. sav.;2015-10-17;04:30:00;4;0;3;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Vingiuota nuokalne;0;;;Automobilio vairuotojas;Vyras;1992-10-30;0;Uzsegtas;Neturi teises vairuoti;;Neblaivus
Alytaus r. sav.;2015-10-18;14:34:00;8;0;4;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Lietus;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1992-07-12;0;Uzsegtas;Atitinka;2;Blaivus
Alytaus r. sav.;2015-12-02;14:36:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Apledejusi;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1973-07-26;0;;Atitinka;23;Blaivus
Alytaus r. sav.;2015-12-06;21:00:00;2;1;0;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;1967-06-01;0;;;;Blaivus
Alytaus r. sav.;2015-12-09;17:20:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;1952-08-28;0;;;;Blaivus
Alytaus r. sav.;2015-12-11;17:25:00;2;0;1;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lijundra;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;1941-08-10;0;;;;Neblaivus
Anyksciu r. sav.;2015-01-04;18:00:00;3;0;1;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;Apledejusi;Tamsus paros metas;Sniegas, krusa;Tiesi nuokalne;1;;;Automobilio vairuotojas;Vyras;1992-06-01;0;Uzsegtas;Atitinka;4;Blaivus
Anyksciu r. sav.;2015-02-12;08:58:00;2;0;1;2;2;Magistraliniai keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesi nuokalne;0;;;Automobilio vairuotojas;Vyras;1987-03-14;0;Uzsegtas;Atitinka;9;Blaivus
Anyksciu r. sav.;2015-05-19;21:22:00;1;0;1;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Horizontalus vingis;0;;;Automobilio vairuotojas;Moteris;1996-09-04;0;Uzsegtas;Atitinka;2;Blaivus
Anyksciu r. sav.;2015-08-12;07:00:00;2;0;2;1;1;;zvyrkelis;Sausa;Diena;Giedra;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1997-04-09;0;Uzsegtas;Neturi teises vairuoti;;Neblaivus
Anyksciu r. sav.;2015-08-28;09:25:00;4;0;2;2;2;Vietiniai keliai;zvyrkelis;Sausa;Diena;Apsiniauke;Horizontalus vingis;0;;;Kitos transporto priemones vairuotojas;Vyras;1971-09-12;0;;Atitinka;25;Blaivus
Anyksciu r. sav.;2015-08-29;13:30:00;1;0;1;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1993-04-24;0;Uzsegtas;Atitinka;4;Blaivus
Anyksciu r. sav.;2015-12-23;17:00:00;3;0;1;3;1;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Sutemos (prieblanda);Lietus;Tiesi ikalne;0;;;Traktoriaus vairuotojas;Vyras;1954-09-21;0;;Atitinka;20;Blaivus
Anyksciu r. sav.;2015-12-24;20:05:00;3;0;2;1;;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1943-07-17;0;;Atitinka;19;Blaivus
Birstono sav.;2015-04-23;15:30:00;1;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Mopedo vairuotojas;Vyras;1999-02-23;0;;Atitinka;1;Blaivus
Birstono sav.;2015-04-29;02:50:00;2;0;2;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1986-01-07;0;Uzsegtas;Neturi teises vairuoti;;Neblaivus
Birstono sav.;2015-05-28;16:00:00;1;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Vingiuota ikalne;0;;;Automobilio vairuotojas;Moteris;1969-12-19;0;Uzsegtas;Atitinka;18;Blaivus
Birzu r. sav.;2015-01-19;17:15:00;2;1;0;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;1946-02-04;0;;;;Blaivus
Birzu r. sav.;2015-03-21;01:45:00;4;0;1;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1996-01-06;0;Uzsegtas;Atitinka;1;Blaivus
Birzu r. sav.;2015-05-02;11:40:00;2;0;1;1;;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Pesciasis;Moteris;1933-03-04;0;;;;Blaivus
Birzu r. sav.;2015-06-09;07:54:00;3;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1996-01-06;0;Uzsegtas;Atitinka;3;Blaivus
Birzu r. sav.;2015-06-28;11:20:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1938-07-29;0;Uzsegtas;Atitinka;53;Blaivus
